ID,edit_prompt
1274,change the umbrella color to yellow
2352,Change the color of the elephants to purple
2395,change their hair color to blonde
2456,Change the dirt road to a rainbow-colored path
2459,Change the elephants' skin color to purple
2493,Change the teddy bear into a colorful teddy bear
2517,Change the color to a soft purple hue
2561,turn the people into colorful clothes
2595,change his suit color to bright purple
2614,Change the color of the train to a vibrant purple hue
2642,change his suit color to bright purple
2690,Turn the flowers into colorful butterflies
2742,Change the color of the fire hydrant to bright pink
2750,turn the grass color into a colorful pattern
2783,Change the color of the propellers to neon pink
2801,Change the color of the sand to pink
2903,change the wall color to bright pink
3001,Turn the foods into colorful foods.
3018,change the bus color to bright purple
3053,change the wall color to bright pink
3162,Turn the pots with swirling colors
3200,change the shoe color to neon green
3221,Turn the horses with rainbow-colored horses
3271,Change the doughnut into a colorful balloon bouquet
3306,Change the color of the motorbike to neon pink
3384,Change the boy's hair color to purple
3388,Change the color of the trees to a vibrant purple
3397,change the chocolate frosting to rainbow-colored chocolate frosting
3408,change the color scheme to silver and blue
3417,Turn the road into a rainbow-colored road.
3459,change the towels into colorful towels
5888,change the helmet color to neon green
7438,Change the color of the jacket to red
8152,change the toothbrushes into colorful flowers.
8154,Change the cookies into colorful cookies
8228,Change the debris into colorful debris
8234,Change the color of the motorcycle to black
8282,Change the dog's fur color to purple
8340,change the color of the walls to a soft pastel pink
8346,Change the toppings to colorful fruits and candies for a whimsical twist
8388,Change the sheep's wool color to rainbow wool
8390,Change the owl's feathers to metallic steampunk colors
8391,Change the cat's fur color to golden lion-like shades
8392,Change the field color to sandy beige like a beach
8397,Change the donut's frosting color to bright fruit-inspired hues
8401,Change the pepperoni to colorful pepperoni
8405,Change the street signs' background color to neon shades
8414,Change the fruits' colors to pastel flower-inspired hues
8416,Change the sign to read 'Electric Boulevard' in neon colors
8418,Change their hair color to funky neon shades
8420,Change the sand color to lavender purple
8434,turn the pizza into a fruit pizza with colorful slices
8445,Change the sidewalk color to sandy beige
8446,Change the computers’ case color to vintage cream
8451,Change the unicorns’ mane color to rainbow color
8455,Change the elephants’ skin color to green dinosaur-inspired hues
8462,Change the cakes’ frosting color to bright pastel hues
