ID,edit_prompt
244,replace the pizza with a burger
365,Replace the sandwich with a slice of pizza
601,Replace Santa Claus with the Easter Bunny
807,Replace the dog's face with a cat's face
1498,Replace the wine with coffee and the sandwich with a croissant.
1549,replace the dog with a cat
1961,replace the cell phone with a magical crystal ball
2038,Replace the dogs with two cats
2329,replace the statue with a dragon head
2330,replace the vegetables with exotic fruits
2337,Replace the curtains with flowing water
2341,replace the lion with a dragon
2358,Replace pillows and purses with books and candles.
2362,Replace the field with a snowy landscape
2363,replace skis with snowboards
2364,replace the cows with fluffy sheep
2367,Replace all bikes with motorcycles
2383,Replace the laptop with a magical book
2390,Replace the cattle with wild horses
2391,Replace the beach with a desert landscape
2403,Replace the plantains with pineapples
2409,replace the kite with a hot air balloon
2422,Replace the pizza pie with a giant hamburger
2425,replace the umbrella with a giant sunflower
2429,replace the cat graphic with a mystical unicorn
2475,Replace the graffiti with intricate mosaic patterns
2477,Replace the forest with a tropical beach
2478,Replace the meat sandwiches with sushi rolls
2491,Replace the trash cans with colorful flower pots
2499,Replace the cellular phone with a vintage camera
2506,Replace the teddy bears with miniature dinosaurs
2508,Replace the cell phone with a toy dinosaur.
2509,Replace the tennis racquets with surfboards
2510,replace the doughnut with a slice of watermelon
2511,Replace the elephant with a dragon
2520,Replace the pizza with a giant burger
2522,replace the suitcase with a treasure chest
2523,replace the vases with miniature planets floating in space
2537,Replace the artwork with photos of exotic fruits
2538,replace the receipt with a vintage treasure map
2544,Replace the vegetables with exotic fruits
2551,Replace the iPhones with Android devices
2557,Replace the sheep with unicorns
2581,Replace the stuffed bear with a friendly dragon companion.
2582,Replace the eclair with a steaming hot apple pie
2592,replace the sidewalk with a sandy beach
2598,Replace the pizza with a giant sushi roll
2609,Replace the robotic dogs with robotic cats.
2620,Replace the sandwich with a slice of pizza
2640,Replace the dog with a wolf
2641,Replace the snowflakes with palm tree leaves
2653,Replace the grass with a sandy beach
2656,Replace the fish with a giant ice cream cone.
2658,Replace the bikes with horses
2668,Replace the soccer ball with a watermelon
2670,replace the surfboard with a giant seashell
2671,Replace the fish with a giant ice cream cone.
2674,replace the road with a flowing river
2677,replace the cows with fluffy sheep
2678,Replace the pizza with a stack of pancakes
2688,Replace the road with a flowing river
2697,Replace the flowers with colorful butterflies.
2711,Replace the uniforms with spacesuits
2712,replace the snow with cherry blossom petals
2724,replace the banana with a pineapple
2727,replace the newspapers with graffiti art
2729,Replace the cake with a galaxy-themed cake topped with stars and planets
2730,Replace the pizza slices with pancakes
2738,Replace the trees with palm trees
2744,Replace the controllers with magic wands
2753,Replace the cat with a robot
2762,Replace the teddy bears with miniature dinosaurs having a tea party
2774,replace the cow with a unicorn
2789,replace the heart with a sunflower
2790,replace pizza with a bouquet of flowers
2806,Replace the dog with a cheetah and human with a gazelle
2808,replace the pigeon with a seagull
2820,Replace the white bear with a floating cloud
2824,Replace the hotdog with a giant ice cream cone
2825,Replace the hamster with a baby elephant
2828,Replace the tropical trees with cherry blossom trees.
2830,Replace the tennis court with a soccer field
2831,Replace the artwork with photos of exotic fruits
2842,Replace the bicycles with motorcycles
2858,replace the bicycles with vintage cars
2860,Replace the giraffe with a friendly dragon
2870,Replace the carriages with sleighs pulled by reindeer
2872,Replace the spaghetti with bacon strips
2875,replace the trees with palm trees
2878,Replace the stand with a vintage record player
2883,Replace Ritz crackerfuls with sushi rolls
2888,Replace the dog with a lion
2899,Replace the stick with a lightsaber
2912,Replace chocolate with a rainbow frosting
2929,replace the couple with a pair of flamingos
2943,Replace the tennis racket with a giant sunflower
2946,Replace the fish with a giant ice cream cone.
2950,replace the grass with a sandy beach
2965,replace the elephants with dinosaurs
2975,Replace the field with a snowy landscape
2981,Replace the mountain with a giant waterfall cascading down
2982,Replace the banana with an ice cream cone
2983,Replace the hotdogs with sushi rolls.
2985,replace the bananas with light bulbs
2990,Replace the pizza with sushi rolls
3004,Replace the onion rings with colorful fruit slices
3010,replace glasses with a crystal crown
3023,Replace vegetables with exotic tropical fruits
3026,Replace the tennis racket with a glowing lightsaber
3029,Replace the cows with mechanical robots
3034,replace the moped with a skateboard.
3043,Replace the hotdog with an ice cream cone
3052,replace the sheep with a unicorn
3054,replace the sandwich with a stack of pancakes
3063,Replace the graffiti with a mural of a vibrant tropical beach scene.
3064,replace the road with a flowing river
3072,Replace the bicycles with miniature car figurines
3083,Replace the sweater with a superhero cape
3084,Replace the cow with a mythical unicorn
3086,Replace the white remote with a glowing orb
3097,Replace the giraffe with a friendly dragon
3106,Replace the eggs with slices of bacon.
3120,replace the giraffes with zebras
3122,Replace the shoe with a tree branch
3142,Replace Santa with a unicorn
3143,Replace the background with a beach scene
3147,Replace the cow with a mythical unicorn
3148,Replace the pizza with sushi rolls
3156,Replace the elephants with giraffes
3172,Replace the elephant with a mythical creature like a phoenix
3173,Replace the oranges with lemons
3174,replace the green beans with chocolate bars
3178,Replace the bicycle with a sleek motorcycle
3187,replace the flowers with succulents
3192,Replace the dog with a friendly dragon.
3195,Replace the bison with a mythical creature like a dragon
3197,replace the hat with a crown
3202,Replace Louisiana with California
3207,replace the vegetables with various types of fruit
3211,Replace the clear umbrella with a colorful rainbow umbrella
3213,replace the seagulls with flamingos
3215,Replace the flowers with butterflies
3219,Replace fake flowers with butterflies
3229,Replace the sandwich with a burger
3232,Replace the pizza with a bouquet of colorful flowers
3235,replace the dog with a majestic wolf
3237,Replace the diners with ghostly apparitions
3241,Replace the animal images with cartoon characters
3245,Replace the dog with a lion
3248,Replace the tablet with a book
3252,Replace the skis with snowboards
3256,replace the truck with a vintage car
3258,Replace the buses with fire trucks
3272,Replace the snow with colorful confetti
3284,Replace the yard with a sandy beach
3289,replace the queen with a majestic phoenix
3295,Replace the beans with candy corn
3305,Replace the elephants with giraffes
3309,Replace the bread bun with a giant cookie
3310,Replace the TV screen with a live aquarium
3312,replace the quilt with a map of the world
3313,Replace one stuffed animal with a toy robot
3329,Replace his cell phone with a crystal ball
3330,Replace the pizza with a colorful fruit tart
3339,replace the watch with a compass
3340,Replace the certificate with a constellation map
3342,Replace the fruits with colorful butterflies
3344,Replace the teddy bear with a robotic cat.
3356,replace the seagulls with flamingos
3362,Replace the chocolate donut with a rainbow ice cream cone
3371,Replace the cat with a robot
3378,replace wine glass with a cup of coffee
3386,Replace the sheep with flamingos standing gracefully in the water
3389,Replace the sheep with a llama
3406,Replace the pickle with a slice of pineapple
3410,Replace the pizza with a vibrant fruit tart
3412,Replace the men with robots
3415,Replace the flowers with a variety of succulents
3420,replace the sausage dough with bacon strips
3424,replace the cake with a slice of pizza
3437,Replace the laptop with a giant book
3444,Replace the bus reflection with a city skyline
3450,Replace the teddy bears with miniature unicorns
3465,replace the tomatoes with strawberries
3476,Replace the cherry cobbler with a strawberry shortcake
3482,Replace the Chinese food with sushi
3483,Replace the pizza with a giant burger
3487,replace the crab with a miniature octopus
3490,Replace the roast beef with pulled pork
3690,replace the cat with a dog
3748,Replace the teddy bear with a magical unicorn
3872,Replace the owl with a squirrel
4024,replace the hard boiled eggs with slices of avocado
4492,Replace the remote control with a pile of golden coins
4761,replace teddy bears with live flamingos
5179,Replace 'Walk' with 'Dance'
5243,Replace the Polar Bears with Penguins
5287,Replace the word 'leeds' with 'timeless'
5329,Replace the word William with the word Love
5445,Replace the monkey with a kangaroo
5968,Replace motorcycle with a skateboard
6185,Replace the cat with a flamingo
6225,replace the animals with African elephants
7322,Remove the red accent and replace with teal
7338,Replace the black cat with a mythical dragon
8155,replace bananas with fish
8157,Replace the shooting spaceships with flying unicorns
8165,Replace the cake with a magical glowing orb
8172,replace the pizza with a colorful fruit tart.
8177,Replace the dog with a cat wearing a bowtie
8188,Replace the laptop with a vintage typewriter
8191,replace the cookies with miniature cupcakes
8192,Replace the grass with a field of wildflowers
8197,Replace the bookbag with a spaceship
8199,Replace the cattle with dinosaurs
8207,Replace the device with a glowing crystal ball.
8217,Replace the elephant with a giant turtle
8270,Replace the donuts with colorful macarons
